symbol,timestamp,open,high,low,close,volume,interval
EURJPY,2025-02-22T00:00:00,157.42999,157.50999,157.39999,157.46001,0.0,15m
EURJPY,2025-02-22T00:15:00,157.46001,157.46001,157.34,157.39,0.0,15m
EURJPY,2025-02-22T00:30:00,157.39,157.59,157.39,157.57001,0.0,15m
EURJPY,2025-02-22T00:45:00,157.58,157.69,157.58,157.59,0.0,15m
EURJPY,2025-02-22T01:00:00,157.59,157.64,157.49001,157.49001,0.0,15m
EURJPY,2025-02-22T01:15:00,157.5,157.53999,157.42999,157.45,0.0,15m
EURJPY,2025-02-22T01:30:00,157.45,157.45,157.25999,157.33,0.0,15m
EURJPY,2025-02-22T01:45:00,157.31,157.31,156.97,157.020004,0.0,15m
EURJPY,2025-02-22T02:00:00,157.0099945,157.050003,156.72,156.75,0.0,15m
EURJPY,2025-02-22T02:15:00,156.75,156.81,156.42,156.45,0.0,15m
EURJPY,2025-02-22T02:30:00,156.44,156.57001,156.38,156.38,0.0,15m
EURJPY,2025-02-22T02:45:00,156.38,156.50999,156.32001,156.35001,0.0,15m
EURJPY,2025-02-22T03:00:00,156.35001,156.42999,156.28,156.37,0.0,15m
EURJPY,2025-02-22T03:15:00,156.37,156.42,156.16,156.21001,0.0,15m
EURJPY,2025-02-22T03:30:00,156.21001,156.36,156.16,156.32001,0.0,15m
EURJPY,2025-02-22T03:45:00,156.32001,156.36,156.24001,156.3,0.0,15m
EURJPY,2025-02-22T04:00:00,156.3,156.35001,156.25,156.3,0.0,15m
EURJPY,2025-02-22T04:15:00,156.31,156.33,156.17,156.2,0.0,15m
EURJPY,2025-02-22T04:30:00,156.2,156.25,156.11,156.25,0.0,15m
EURJPY,2025-02-22T04:45:00,156.24001,156.24001,156.10001,156.13,0.0,15m
EURJPY,2025-02-22T05:00:00,156.13,156.13,155.89999,155.97,0.0,15m
EURJPY,2025-02-22T05:15:00,155.97,156.029999,155.89,155.89999,0.0,15m
EURJPY,2025-02-22T05:30:00,155.89999,156.039993,155.85001,156.0099945,0.0,15m
EURJPY,2025-02-22T05:45:00,156.0099945,156.059998,155.95,155.99001,0.0,15m
EURJPY,2025-02-22T06:00:00,155.99001,156.0,155.82001,155.89999,0.0,15m
EURJPY,2025-02-22T06:15:00,155.89999,155.99001,155.84,155.87,0.0,15m
EURJPY,2025-02-22T06:30:00,155.87,155.98,155.87,155.94,0.0,15m
EURJPY,2025-02-22T06:45:00,155.94,156.020004,155.92,155.97,0.0,15m
EURJPY,2025-02-22T07:00:00,155.97,155.99001,155.92999,155.96001,0.0,15m
EURJPY,2025-02-22T07:15:00,155.96001,155.97,155.89,155.89999,0.0,15m
EURJPY,2025-02-22T07:30:00,155.92,156.080002,155.89999,156.050003,0.0,15m
EURJPY,2025-02-22T07:45:00,156.050003,156.050003,155.99001,156.0099945,0.0,15m
EURJPY,2025-02-22T08:00:00,156.0099945,156.070007,156.0,156.050003,0.0,15m
