symbol,timestamp,open,high,low,close,volume,interval
GBPUSD,2025-02-22T00:00:00,1.264,1.2647,1.2639,1.2647,0.0,30m
GBPUSD,2025-02-22T00:30:00,1.2647,1.2652,1.2645,1.2645,0.0,30m
GBPUSD,2025-02-22T01:00:00,1.2647,1.2658,1.2639,1.2657,0.0,30m
GBPUSD,2025-02-22T01:30:00,1.2657,1.2668,1.2645,1.2657,0.0,30m
GBPUSD,2025-02-22T02:00:00,1.2654,1.266,1.2635,1.2635,0.0,30m
GBPUSD,2025-02-22T02:30:00,1.2634,1.2645,1.263,1.2638,0.0,30m
GBPUSD,2025-02-22T03:00:00,1.2639,1.2649,1.2638,1.2641,0.0,30m
GBPUSD,2025-02-22T03:30:00,1.2641,1.2648,1.2636,1.2644,0.0,30m
GBPUSD,2025-02-22T04:00:00,1.2645,1.2649,1.264,1.2642,0.0,30m
GBPUSD,2025-02-22T04:30:00,1.2643,1.265,1.2638,1.2645,0.0,30m
GBPUSD,2025-02-22T05:00:00,1.2645,1.2645,1.2629,1.2631,0.0,30m
GBPUSD,2025-02-22T05:30:00,1.2632,1.2636,1.2625,1.2635,0.0,30m
GBPUSD,2025-02-22T06:00:00,1.2634,1.2639,1.263,1.2635,0.0,30m
GBPUSD,2025-02-22T06:30:00,1.2635,1.2637,1.2629,1.2632,0.0,30m
GBPUSD,2025-02-22T07:00:00,1.263,1.2637,1.263,1.2636,0.0,30m
GBPUSD,2025-02-22T07:30:00,1.2636,1.2637,1.2629,1.2631,0.0,30m
GBPUSD,2025-02-22T08:00:00,1.2631,1.2634,1.2627,1.2628,0.0,30m
GBPUSD,2025-02-22T08:30:00,1.2627,1.2634,1.2627,1.2634,0.0,30m
GBPUSD,2025-02-24T09:00:00,1.2638,1.2646,1.2635,1.2641,0.0,30m
GBPUSD,2025-02-24T09:30:00,1.264,1.2647,1.2635,1.2643,0.0,30m
GBPUSD,2025-02-24T10:00:00,1.2643,1.2659,1.2638,1.2656,0.0,30m
GBPUSD,2025-02-24T10:30:00,1.2655,1.2657,1.2647,1.2649,0.0,30m
GBPUSD,2025-02-24T11:00:00,1.2649,1.2669,1.2644,1.2666,0.0,30m
GBPUSD,2025-02-24T11:30:00,1.2666,1.2673,1.2661,1.2666,0.0,30m
GBPUSD,2025-02-24T12:00:00,1.2666,1.2672,1.2664,1.2667,0.0,30m
GBPUSD,2025-02-24T12:30:00,1.2668,1.268,1.2662,1.2678,0.0,30m
GBPUSD,2025-02-24T13:00:00,1.2678,1.2683,1.2677,1.2683,0.0,30m
GBPUSD,2025-02-24T13:30:00,1.2682,1.2691,1.2682,1.2685,0.0,30m
GBPUSD,2025-02-24T14:00:00,1.2685,1.2687,1.2679,1.268,0.0,30m
GBPUSD,2025-02-24T14:30:00,1.268,1.2683,1.2677,1.2681,0.0,30m
GBPUSD,2025-02-24T15:00:00,1.2681,1.2683,1.2675,1.2675,0.0,30m
GBPUSD,2025-02-24T15:30:00,1.2676,1.2678,1.2674,1.2678,0.0,30m
GBPUSD,2025-02-24T16:00:00,1.2677,1.2677,1.2671,1.2675,0.0,30m
GBPUSD,2025-02-24T16:30:00,1.2675,1.2678,1.2672,1.2675,0.0,30m
GBPUSD,2025-02-24T17:00:00,1.2674,1.2675,1.2666,1.2668,0.0,30m
GBPUSD,2025-02-24T17:30:00,1.2668,1.2669,1.2658,1.2665,0.0,30m
GBPUSD,2025-02-24T18:00:00,1.2666,1.267,1.2654,1.2656,0.0,30m
GBPUSD,2025-02-24T18:30:00,1.2655,1.266,1.2638,1.2645,0.0,30m
GBPUSD,2025-02-24T19:00:00,1.2645,1.2646,1.2635,1.2639,0.0,30m
GBPUSD,2025-02-24T19:30:00,1.2639,1.2654,1.263,1.2649,0.0,30m
GBPUSD,2025-02-24T20:00:00,1.2648,1.2658,1.2645,1.2647,0.0,30m
GBPUSD,2025-02-24T20:30:00,1.2647,1.2648,1.2626,1.2638,0.0,30m
GBPUSD,2025-02-24T21:00:00,1.2638,1.2639,1.2626,1.2637,0.0,30m
GBPUSD,2025-02-24T21:30:00,1.2637,1.2645,1.263,1.2643,0.0,30m
GBPUSD,2025-02-24T22:00:00,1.2643,1.2645,1.2639,1.2641,0.0,30m
GBPUSD,2025-02-24T22:30:00,1.264,1.2645,1.2635,1.2639,0.0,30m
GBPUSD,2025-02-24T23:00:00,1.2639,1.2645,1.2637,1.2637,0.0,30m
GBPUSD,2025-02-24T23:30:00,1.2637,1.2639,1.2633,1.2638,0.0,30m
GBPUSD,2025-02-25T00:00:00,1.2638,1.2645,1.2635,1.2642,0.0,30m
GBPUSD,2025-02-25T00:30:00,1.2643,1.2651,1.2641,1.2645,0.0,30m
GBPUSD,2025-02-25T01:00:00,1.2644,1.265,1.2633,1.2637,0.0,30m
GBPUSD,2025-02-25T01:30:00,1.2637,1.2638,1.2612,1.2619,0.0,30m
GBPUSD,2025-02-25T02:00:00,1.262,1.2632,1.2616,1.2625,0.0,30m
GBPUSD,2025-02-25T02:30:00,1.2626,1.2628,1.2616,1.262,0.0,30m
GBPUSD,2025-02-25T03:00:00,1.262,1.2638,1.2618,1.2635,0.0,30m
GBPUSD,2025-02-25T03:30:00,1.2635,1.2641,1.263,1.2639,0.0,30m
GBPUSD,2025-02-25T04:00:00,1.2639,1.2643,1.2631,1.2641,0.0,30m
GBPUSD,2025-02-25T04:30:00,1.2641,1.2649,1.2639,1.264,0.0,30m
GBPUSD,2025-02-25T05:00:00,1.2639,1.2651,1.2639,1.2649,0.0,30m
GBPUSD,2025-02-25T05:30:00,1.2648,1.2651,1.2641,1.2643,0.0,30m
GBPUSD,2025-02-25T06:00:00,1.2643,1.2648,1.2635,1.2636,0.0,30m
GBPUSD,2025-02-25T06:30:00,1.2637,1.2639,1.263,1.2632,0.0,30m
GBPUSD,2025-02-25T07:00:00,1.2633,1.2637,1.2627,1.2632,0.0,30m
GBPUSD,2025-02-25T07:30:00,1.2632,1.2636,1.2622,1.2622,0.0,30m
GBPUSD,2025-02-25T08:00:00,1.262,1.2624,1.2618,1.2622,0.0,30m
GBPUSD,2025-02-25T08:30:00,1.2622,1.2628,1.2621,1.2625,0.0,30m
GBPUSD,2025-02-25T09:00:00,1.2631,1.2631,1.2626,1.2628,0.0,30m
GBPUSD,2025-02-25T09:30:00,1.2628,1.2632,1.2626,1.2629,0.0,30m
GBPUSD,2025-02-25T10:00:00,1.2628,1.2629,1.2617,1.2619,0.0,30m
GBPUSD,2025-02-25T10:30:00,1.2619,1.2622,1.2616,1.2618,0.0,30m
GBPUSD,2025-02-25T11:00:00,1.2617,1.2622,1.2617,1.2617,0.0,30m
GBPUSD,2025-02-25T11:30:00,1.2618,1.2622,1.2617,1.2619,0.0,30m
GBPUSD,2025-02-25T12:00:00,1.2619,1.2623,1.2617,1.2619,0.0,30m
GBPUSD,2025-02-25T12:30:00,1.262,1.2623,1.2618,1.2623,0.0,30m
GBPUSD,2025-02-25T13:00:00,1.2624,1.2629,1.2621,1.2628,0.0,30m
GBPUSD,2025-02-25T13:30:00,1.2628,1.2635,1.2628,1.2635,0.0,30m
GBPUSD,2025-02-25T14:00:00,1.2635,1.2637,1.263,1.2632,0.0,30m
GBPUSD,2025-02-25T14:30:00,1.2632,1.2635,1.2631,1.2632,0.0,30m
GBPUSD,2025-02-25T15:00:00,1.2633,1.2638,1.2632,1.2637,0.0,30m
GBPUSD,2025-02-25T15:30:00,1.2637,1.2638,1.2633,1.2634,0.0,30m
GBPUSD,2025-02-25T16:00:00,1.2634,1.2638,1.2633,1.2637,0.0,30m
GBPUSD,2025-02-25T16:30:00,1.2638,1.2639,1.2635,1.2637,0.0,30m
GBPUSD,2025-02-25T17:00:00,1.2637,1.2639,1.2636,1.2637,0.0,30m
GBPUSD,2025-02-25T17:30:00,1.2637,1.2637,1.2627,1.2632,0.0,30m
GBPUSD,2025-02-25T18:00:00,1.2631,1.2633,1.262,1.2629,0.0,30m
GBPUSD,2025-02-25T18:30:00,1.2629,1.263,1.2611,1.2613,0.0,30m
GBPUSD,2025-02-25T19:00:00,1.2613,1.263,1.2606,1.2619,0.0,30m
GBPUSD,2025-02-25T19:30:00,1.2619,1.2626,1.2611,1.262,0.0,30m
GBPUSD,2025-02-25T20:00:00,1.262,1.263,1.2619,1.2626,0.0,30m
GBPUSD,2025-02-25T20:30:00,1.2626,1.2628,1.2621,1.2624,0.0,30m
GBPUSD,2025-02-25T21:00:00,1.2624,1.2624,1.2616,1.262,0.0,30m
GBPUSD,2025-02-25T21:30:00,1.262,1.2628,1.2617,1.2626,0.0,30m
